,state
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,New Mexico
26,North Carolina
27,North Dakota
28,Ohio
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Utah
37,Vermont
38,Virginia
39,Washington
40,West Virginia
41,Wisconsin
42,Wyoming
